,actor,object,verb,timestamp
48,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:19:16.584
49,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:19:17.594
50,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:19:18.601
51,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:19:19.605
52,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:19:20.615
53,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:19:21.615
54,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:19:22.628
55,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:19:23.638
56,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:19:24.646
57,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:19:25.639
58,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:19:26.646
59,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:19:27.660
60,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:19:28.661
61,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:19:29.671
62,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:19:30.673
63,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:19:31.680
64,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:19:32.688
65,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:19:33.702
66,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:19:34.699
67,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:19:35.708
68,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:19:36.720
69,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:19:37.719
70,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:19:38.721
71,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:19:40.776
72,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:19:41.227
73,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:19:42.233
74,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:19:42.731
75,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:19:44.237
76,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:19:45.252
77,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:19:45.753
78,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:19:46.760
79,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:19:47.759
80,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:19:49.261
81,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:19:50.258
82,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:19:50.765
83,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:19:51.770
84,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:19:52.771
85,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:19:53.785
86,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,중지,2022-02-06T17:19:54.778
87,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,퀴즈/메시지 등장,2022-02-06T17:19:54.780
88,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:19:55.274
89,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,퀴즈 오답,2022-02-06T17:19:58.155
90,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,실행,2022-02-06T17:19:58.197
91,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:20:10.926
92,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:20:11.808
93,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,중지,2022-02-06T17:20:12.193
94,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,실행,2022-02-06T17:20:13.525
95,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:20:13.819
96,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:20:14.824
97,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:20:15.831
98,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:20:16.833
99,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:20:17.839
100,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,중지,2022-02-06T17:20:18.834
101,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:20:18.834
102,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,퀴즈/메시지 등장,2022-02-06T17:20:18.837
103,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,퀴즈 오답,2022-02-06T17:20:22.132
104,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,실행,2022-02-06T17:20:22.169
105,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,중지,2022-02-06T17:20:29.976
106,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,실행,2022-02-06T17:20:30.513
107,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청기록,2022-02-06T17:26:16.857
108,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,재생바 클릭,2022-02-06T17:26:16.937
109,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,재생바 클릭,2022-02-06T17:26:19.630
110,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,실행,2022-02-06T17:26:20.132
111,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:26:20.627
112,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,중지,2022-02-06T17:26:20.630
113,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,퀴즈/메시지 등장,2022-02-06T17:26:20.650
114,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,퀴즈 오답,2022-02-06T17:26:23.038
115,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,실행,2022-02-06T17:26:23.587
116,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:26:25.164
117,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:26:25.647
118,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청기록,2022-02-06T17:26:26.507
119,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,재생바 클릭,2022-02-06T17:26:26.541
120,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,재생바 클릭,2022-02-06T17:26:27.535
121,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,실행,2022-02-06T17:26:28.036
122,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:26:28.533
123,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:26:29.540
124,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,중지,2022-02-06T17:26:30.116
125,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:26:30.555
126,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,실행,2022-02-06T17:26:30.768
127,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:26:31.548
128,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:26:32.801
129,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:26:33.559
130,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:26:34.561
131,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,중지,2022-02-06T17:26:35.427
132,0,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:26:35.556
133,1,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청기록,2022-02-06T17:28:12.156
134,1,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:28:13.203
135,1,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,실행,2022-02-06T17:28:13.637
136,1,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:28:14.206
137,1,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:28:15.213
138,1,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:28:16.220
139,1,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:28:17.707
140,1,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:28:18.215
141,1,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:28:19.217
142,1,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:28:20.226
143,1,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:28:21.224
144,1,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:28:22.230
145,1,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:28:23.233
146,1,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:28:24.747
147,1,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:28:25.245
148,1,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:28:26.241
149,1,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:28:27.244
150,1,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:28:28.253
151,1,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:28:29.263
152,1,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:28:30.267
